,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,185.0,769.0,2817.0,9531.0,11339.0,3543.0,2043.0,30227.0
1999,490.0,272.0,241.0,111.0,100.0,169.0,583.0,2031.0,4126.0,6537.0,2561.0,1611.0,18832.0
2000,72.0,106.0,162.0,99.0,142.0,318.0,531.0,2036.0,5055.0,10018.0,3640.0,2023.0,24202.0
2001,121.0,116.0,7.0,43.0,292.0,342.0,1317.0,4485.0,12226.0,14927.0,8736.0,2413.0,45025.0
2002,270.0,630.0,306.0,253.0,350.0,523.0,2901.0,8169.0,16617.0,18400.0,15334.0,8249.0,72002.0
2003,2326.0,516.0,571.0,739.0,563.0,1470.0,4056.0,4667.0,22278.0,20040.0,16441.0,9669.0,83336.0
2004,963.0,306.0,377.0,371.0,737.0,1402.0,2661.0,5113.0,17932.0,16286.0,19339.0,13306.0,78793.0
2005,2445.0,578.0,442.0,331.0,313.0,1109.0,3093.0,5492.0,15823.0,23891.0,14851.0,8569.0,76937.0
2006,1593.0,691.0,499.0,176.0,298.0,870.0,2296.0,5105.0,9145.0,9959.0,12720.0,8203.0,51555.0
2007,2058.0,285.0,417.0,403.0,889.0,2774.0,5804.0,19547.0,27403.0,23376.0,13910.0,7243.0,104109.0
2008,1407.0,672.0,355.0,323.0,372.0,1010.0,2354.0,3418.0,10459.0,16631.0,15153.0,8842.0,60996.0
2009,1923.0,402.0,512.0,135.0,87.0,496.0,1856.0,3493.0,8801.0,7653.0,11908.0,6852.0,44118.0
2010,1513.0,692.0,651.0,379.0,836.0,2144.0,5176.0,13843.0,24257.0,14937.0,12672.0,4333.0,81433.0
2011,597.0,317.0,404.0,340.0,414.0,1592.0,2646.0,5665.0,16959.0,8527.0,8497.0,6080.0,52038.0
2012,1459.0,606.0,849.0,788.0,1188.0,2306.0,6419.0,16283.0,19031.0,14700.0,5050.0,4154.0,72833.0
2013,885.0,618.0,671.0,306.0,385.0,1137.0,2098.0,4065.0,9576.0,7099.0,4466.0,4322.0,35628.0
2014,868.0,196.0,347.0,321.0,482.0,1415.0,3475.0,8312.0,9606.0,10504.0,5763.0,3672.0,44961.0
2015,1240.0,396.0,377.0,378.0,439.0,1381.0,2662.0,8404.0,17949.0,16117.0,8278.0,6918.0,64539.0
2016,911.0,759.0,389.0,376.0,504.0,1281.0,3423.0,6704.0,6820.0,11450.0,7252.0,3332.0,43201.0
2017,671.0,237.0,276.0,236.0,350.0,1012.0,2737.0,5200.0,13025.0,11231.0,4753.0,4924.0,44652.0
2018,764.0,124.0,328.0,160.0,429.0,1355.0,2853.0,6135.0,8459.0,5988.0,4485.0,2511.0,33591.0
2019,1425.0,596.0,625.0,249.0,375.0,1295.0,2009.0,6276.0,9468.0,10264.0,7506.0,4069.0,44157.0
2020,670.0,358.0,198.0,251.0,391.0,1176.0,2817.0,3831.0,9927.0,12132.0,5638.0,3463.0,40852.0
2021,913.0,525.0,800.0,412.0,1115.0,1890.0,3164.0,7489.0,14784.0,11015.0,5759.0,2661.0,50527.0
2022,546.0,360.0,369.0,221.0,1063.0,1833.0,3314.0,6292.0,10155.0,13724.0,5738.0,4022.0,47637.0
2023,1022.0,556.0,477.0,601.0,1090.0,2236.0,4222.0,4912.0,13119.0,14552.0,8048.0,5703.0,56538.0
2024,1441.0,435.0,829.0,386.0,1039.0,1941.0,3707.0,5655.0,10692.0,11003.0,1331.0,,38459.0
Máximo*,2445.0,759.0,849.0,788.0,1188.0,2774.0,6419.0,19547.0,27403.0,23891.0,19339.0,13306.0,104109.0
Média*,1086.0,437.0,426.0,320.0,528.0,1258.0,2894.0,6530.0,13174.0,13127.0,8925.0,5353.0,53951.0
Mínimo*,72.0,106.0,7.0,43.0,87.0,169.0,531.0,2031.0,4126.0,5988.0,2561.0,1611.0,18832.0
